"Symbol","Action","Fill qty","Fill price","Qty","Total value","Time placed","Commission","SEC fee","Account","ECN fees",
"UPST","Sell","2","93.21","2","186.42","12 Apr 2022 09:12:09 AM","0.02","0.000951","27237963 - Margin","0.00",
"UPST","Sell","2","93.5113","2","187.02","12 Apr 2022 09:33:12 AM","0.02","0.000954","27237963 - Margin","0.00",
"UPST","Buy","2","92.8193","2","185.64","12 Apr 2022 09:37:41 AM","0.02","0.00","27237963 - Margin","0.00",
"UPST","Buy","1","92.0188","1","92.02","12 Apr 2022 09:38:22 AM","0.01","0.00","27237963 - Margin","0.00",
"UPST","Buy","1","91.9846","1","91.98","12 Apr 2022 09:44:13 AM","0.01","0.00","27237963 - Margin","0.00",
"UPST","Sell","2","93.18","2","186.36","12 Apr 2022 09:59:27 AM","0.02","0.00095","27237963 - Margin","0.00",
"UPST","Sell","2","93.50","2","187.00","12 Apr 2022 10:01:26 AM","0.02","0.000954","27237963 - Margin","0.00",
"UPST","Buy","2","93.00","2","186.00","12 Apr 2022 10:02:04 AM","0.02","0.00","27237963 - Margin","0.00",
"UPST","Buy","2","92.50","2","185.00","12 Apr 2022 10:07:00 AM","0.02","0.00","27237963 - Margin","0.00",
"UPST","Buy","2","88.2116","2","176.42","12 Apr 2022 10:56:31 AM","0.02","0.00","27237963 - Margin","0.00",
"UPST","Buy","1","87.00","1","87.00","12 Apr 2022 11:10:06 AM","0.01","0.00","27237963 - Margin","0.00",
"UPST","Sell","1","88.00","1","88.00","12 Apr 2022 11:11:04 AM","0.01","0.000449","27237963 - Margin","0.00",
"UPST","Sell","2","89.00","2","178.00","12 Apr 2022 10:59:11 AM","0.02","0.000908","27237963 - Margin","0.00",
"UPST","Buy","1","86.50","1","86.50","12 Apr 2022 01:50:11 PM","0.01","0.00","27237963 - Margin","0.00",
"UPST","Buy","1","85.50","1","85.50","12 Apr 2022 01:52:31 PM","0.01","0.00","27237963 - Margin","0.00",
"TWTR","SHRT","10","46.83","10","468.30","12 Apr 2022 07:01:44 AM","0.10","0.002388","27237963 - Margin","0.00",
"TWTR","COV","10","47.11","10","471.10","12 Apr 2022 07:52:12 AM","0.10","0.00","27237963 - Margin","0.00",
"TWTR","SHRT","10","46.89","10","468.90","12 Apr 2022 08:04:34 AM","0.10","0.002391","27237963 - Margin","0.00",
"TWTR","COV","10","46.85","10","468.50","12 Apr 2022 08:05:01 AM","0.10","0.00","27237963 - Margin","0.00",
